原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
茶渣,严重,明确可追溯,良,否,,1,1,高,低,材料主线,茶渣,优/良/差,11.09862022797082
茶渣,无,来源不明,良,是,,0,1,高,中高,食品支线,葡萄籽,优/良,4.658711711087853
茶渣,轻度,基本可追溯,优,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.728545110643945
茶渣,严重,来源不明,优,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.376814017877414
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.664138067561784
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.897712675639031
茶渣,严重,来源不明,优,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.020056451556392352
茶渣,轻度,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄籽,优/良,1.6493439494598618
茶渣,无,明确可追溯,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.999427490511237
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.2124350135978665
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,10.114072047167223
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.613742927652542
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,中,高,食品支线,茶渣,优,0.18745494359556458
中药残余废弃物,严重,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.9536720880274245
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.043631442230142
中药残余废弃物,无,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.2451012670507229
中药残余废弃物,无,明确可追溯,差,,,1,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,4.11475496753321
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.57239342237145
茶渣,轻度,基本可追溯,优,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.560861066870087
中药残余废弃物,无,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.58701730304001
茶渣,无,明确可追溯,差,否,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.7411971184781188
花生壳/板栗壳,无,来源不明,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.722839783268784
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,高,中,材料主线,茶渣,优/良,6.311427620314629
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.303084156104121
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.441069199147832
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.5965889269589235
茶渣,严重,基本可追溯,优,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.58937777517302
中药残余废弃物,严重,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
茶渣,轻度,基本可追溯,良,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.355367056402877
茶渣,严重,来源不明,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.0964604629348855
茶渣,严重,明确可追溯,良,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.452731446464576
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.4704604971715405
中药残余废弃物,轻度,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.5223820183433882
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,9.962789559324477
茶渣,严重,来源不明,差,是,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.23172716275727556
中药残余废弃物,严重,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.477619788817505
茶渣,轻度,基本可追溯,良,否,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.5361453763999604
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.749769969462583
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,0,中,高,食品支线,茶渣,优,0.3203928684218379
花生壳/板栗壳,轻度,基本可追溯,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.23910712399214
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.889955571661907
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,6.59284699612625
花生壳/板栗壳,无,来源不明,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.409255786334302
茶渣,轻度,明确可追溯,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.7897744599443137
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.003102848311703
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,中,材料主线,茶渣,优/良,6.151729439401979
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.42649324739696
茶渣,轻度,来源不明,优,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.333465686850036
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.940041686725251
中药残余废弃物,严重,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.6136325042706625
茶渣,严重,明确可追溯,良,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.173842293856942
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.488666414024938
中药残余废弃物,严重,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.809915940967011
中药残余废弃物,严重,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.239096583332553
茶渣,轻度,基本可追溯,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.84780174284796
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.571146920694508
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.284824435052141
中药残余废弃物,轻度,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.727116091425797
茶渣,轻度,来源不明,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.963269660483352
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,4.572878311816486
中药残余废弃物,严重,来源不明,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.887909983821049
中药残余废弃物,严重,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.089156721798107
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,6.426584900916535
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.973786747452844
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.846953141643132
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.470553144320827
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.312028223517508
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.612011872143076
花生壳/板栗壳,无,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.82469251063717
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.694978494427686
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.784128935280273
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.939487288397221
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,4.780409381140874
中药残余废弃物,无,来源不明,优,,,0,1,中,高,食品支线,茶渣,优,2.7156268897779574
中药残余废弃物,严重,明确可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.667074894951053
中药残余废弃物,轻度,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.435756281398018
花生壳/板栗壳,严重,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.8252199969378955
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.775986868949749
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,否,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,9.43908853324417
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.592148738341808
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.799340341926278
花生壳/板栗壳,无,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.381510507068465
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.245123389741276
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,是,0,1,中,低,无害化兜底,茶渣,差,4.732808572974709
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.498466627851878
茶渣,严重,来源不明,良,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.216334992839541
茶渣,无,明确可追溯,良,否,,1,0,中,低,无害化兜底,茶渣,差,5.821769440939866
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.302718791763381
花生壳/板栗壳,无,明确可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5778669395595633
花生壳/板栗壳,轻度,来源不明,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.7935649706807535
茶渣,严重,明确可追溯,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.022508881140963943
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.353445467655777
茶渣,无,明确可追溯,优,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.245334147913612
茶渣,无,来源不明,优,否,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.567095684560864
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.628241767429794
茶渣,严重,明确可追溯,差,否,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,否,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.4780986571830255
中药残余废弃物,严重,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,6.774124630428085
中药残余废弃物,无,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.205310785553277
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,1,中,低,无害化兜底,茶渣,差,4.647472617655118
花生壳/板栗壳,严重,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.044114791312872
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.4750409693814195
茶渣,轻度,来源不明,良,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.603952581521334
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.933601099746804
茶渣,轻度,明确可追溯,优,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.169931628031789
花生壳/板栗壳,无,明确可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
花生壳/板栗壳,严重,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.410698691898257
花生壳/板栗壳,无,明确可追溯,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.6944227223545045
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.009176018111781
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.269254599516207
中药残余废弃物,严重,来源不明,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.212079685806526
豆制品/粮食发酵副产物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.9007947744781617
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.04298541668043
中药残余废弃物,轻度,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.421355733777974
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.721472688363356
茶渣,无,来源不明,良,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.21510114947006
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.887555609546875
茶渣,严重,来源不明,优,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.118945508882969
花生壳/板栗壳,轻度,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.207417565412511
中药残余废弃物,无,明确可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,2.2080854400235213
中药残余废弃物,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.125515403347362
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.561740461708035
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.414470554013614
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,9.332814339349023
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.526203647207761
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,1,高,中,材料主线,茶渣,优/良,5.933481117878444
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.001230695758794
花生壳/板栗壳,轻度,明确可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.398968135557468
中药残余废弃物,无,来源不明,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.891844936889871
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.4988700068364125
茶渣,无,明确可追溯,优,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.567909120845457
茶渣,无,基本可追溯,优,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.410504152476936
中药残余废弃物,轻度,基本可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.278142272288282
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.064661921455769
茶渣,轻度,基本可追溯,良,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.845303965033431
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.551426002619355
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.405651739564868
茶渣,无,明确可追溯,差,否,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.3107991582273995
茶渣,严重,基本可追溯,良,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.49734075336574
茶渣,严重,来源不明,差,否,,1,0,高,中,材料主线,茶渣,优/良,6.972806439439531
中药残余废弃物,轻度,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.05242270535051963
茶渣,轻度,基本可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.931941318626038
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.6046880915823385
中药残余废弃物,严重,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.2290386333109495
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.297761938533887
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,否,0,0,中,低,无害化兜底,茶渣,差,1.9338310374218848
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.28253725549092
中药残余废弃物,严重,来源不明,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.059919973136232
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.690695867479237
中药残余废弃物,严重,基本可追溯,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.203999107271255
茶渣,轻度,来源不明,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.493507892717173
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.796312161322194
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.574774650875558
花生壳/板栗壳,轻度,基本可追溯,差,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.798356096321557
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.5832191956696446
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.1045643331325214
中药残余废弃物,严重,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
花生壳/板栗壳,轻度,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.6280852828247596
茶渣,无,明确可追溯,优,是,,1,1,高,低,材料主线,茶渣,优/良/差,11.187935326669201
茶渣,无,基本可追溯,良,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.48070018597665
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.681862226696374
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.120184456374971
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.047116270126251
中药残余废弃物,无,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.9882257877116265
花生壳/板栗壳,无,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.105568266963931
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.928746785555946
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,0,中,低,无害化兜底,茶渣,差,2.47562267121993
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,9.294276668891403
茶渣,无,明确可追溯,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.507624770602925
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.34481242740556206
中药残余废弃物,轻度,明确可追溯,良,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,6.735166930666254
中药残余废弃物,无,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.633372101154039
花生壳/板栗壳,无,来源不明,差,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.539692450610925
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.628930279735923
